"SDG region","Country","% Men","% Women"
"Australia and New Zealand","Australia",1,2
"Australia and New Zealand","New Zealand",3,1
"Central and Southern Asia","Afghanistan",51,41
"Central and Southern Asia","Bangladesh",57,35
"Central and Southern Asia","India",25,26
"Central and Southern Asia","Iran",38,21
"Central and Southern Asia","Kazakhstan",16,12
"Central and Southern Asia","Kyrgyzstan",28,15
"Central and Southern Asia","Nepal",18,15
"Central and Southern Asia","Pakistan",73,52
"Central and Southern Asia","Tajikistan",29,17
"Central and Southern Asia","Turkmenistan",34,16
"Central and Southern Asia","Uzbekistan",32,24
"Eastern and South-Eastern Asia","Cambodia",15,5
"Eastern and South-Eastern Asia","China",19,11
"Eastern and South-Eastern Asia","Hong Kong, China",1,4
"Eastern and South-Eastern Asia","Indonesia",37,27
"Eastern and South-Eastern Asia","Japan",5,2
"Eastern and South-Eastern Asia","Mongolia",8,5
"Eastern and South-Eastern Asia","Myanmar",33,23
"Eastern and South-Eastern Asia","Philippines",16,6
"Eastern and South-Eastern Asia","Republic of Korea",6,6
"Eastern and South-Eastern Asia","Singapore",2,1
"Eastern and South-Eastern Asia","Thailand",22,15
"Eastern and South-Eastern Asia","Viet Nam",18,9
"Latin America and the Caribbean","Argentina",10,2
"Latin America and the Caribbean","Bolivia",12,8
"Latin America and the Caribbean","Brazil",6,3
"Latin America and the Caribbean","Chile",6,5
"Latin America and the Caribbean","Colombia",6,4
"Latin America and the Caribbean","Costa Rica",8,3
"Latin America and the Caribbean","Dominican Republic",9,3
"Latin America and the Caribbean","Ecuador",7,5
"Latin America and the Caribbean","El Salvador",8,5
"Latin America and the Caribbean","Guatemala",13,9
"Latin America and the Caribbean","Haiti",22,31
"Latin America and the Caribbean","Honduras",11,4
"Latin America and the Caribbean","Mexico",14,15
"Latin America and the Caribbean","Nicaragua",15,5
"Latin America and the Caribbean","Panama",10,4
"Latin America and the Caribbean","Paraguay",14,5
"Latin America and the Caribbean","Peru",7,3
"Latin America and the Caribbean","Uruguay",4,1
"Latin America and the Caribbean","Venezuela",6,3
"Northern America and Europe","Albania",6,2
"Northern America and Europe","Austria",7,4
"Northern America and Europe","Belarus",11,8
"Northern America and Europe","Belgium",3,1
"Northern America and Europe","Bosnia and Herzegovina",5,3
"Northern America and Europe","Bulgaria",8,5
"Northern America and Europe","Canada",0,0
"Northern America and Europe","Croatia",6,3
"Northern America and Europe","Czech Republic",8,7
