"Sex","Country","Any cash labor income","Cash only"
"Sub-Saharan Africa","Chad",-14.5,-20.8
"Sub-Saharan Africa","Ethiopia",-9.1,-11.4
"Sub-Saharan Africa","Zimbabwe",-3.80000000000001,1.39999999999999
"Sub-Saharan Africa","Mali",-2.59999999999999,-9
"Sub-Saharan Africa","Lesotho",-1.60000000000001,-4
"Sub-Saharan Africa","Togo",1.89999999999999,-0.299999999999997
"Sub-Saharan Africa","South Africa",2.3,3.09999999999999
"Sub-Saharan Africa","Uganda",2.59999999999999,10.5
"Sub-Saharan Africa","Gambia",3.90000000000001,18.4
"Sub-Saharan Africa","Congo, DR",5.8,11.9
"Sub-Saharan Africa","Zambia",6.09999999999999,5.7
"Sub-Saharan Africa","Nigeria",6.59999999999999,6.59999999999999
"Sub-Saharan Africa","Namibia",6.60000000000001,5.90000000000001
"Sub-Saharan Africa","Senegal",6.7,6.2
"Sub-Saharan Africa","Guinea",8.40000000000001,-3.59999999999999
"Sub-Saharan Africa","Ghana",10.5,16.1
"Sub-Saharan Africa","Liberia",10.9,9.4
"Sub-Saharan Africa","Benin",11.1,1
"Sub-Saharan Africa","Kenya",15.8,20.7
"Sub-Saharan Africa","Angola",19.3,18.7
"Sub-Saharan Africa","Rwanda",19.5,23.4
"Sub-Saharan Africa","Burundi",21,16.9
"Sub-Saharan Africa","Sierra Leone",22,15.5
"Sub-Saharan Africa","Mozambique",27.5,22.4
"Sub-Saharan Africa","Tanzania",32.8,28.3
"Sub-Saharan Africa","Malawi",34.2,31.2
"","",,
"Latin America and the Caribbean","Haiti",-1.30000000000001,18
"Latin America and the Caribbean","Guatemala",2.90000000000001,1.5
"Latin America and the Caribbean","Colombia",3.30000000000001,4.7
"","",,
"Eastern and South-Eastern Asia","Myanmar",1.30000000000001,1
"Eastern and South-Eastern Asia","Timor-Leste",2.8,5.9
"Eastern and South-Eastern Asia","Cambodia",3.30000000000001,0.300000000000011
"","",,
"Central and Southern Asia","Maldives",1.8,0.799999999999997
"Central and Southern Asia","India",11.1,10.7
"Central and Southern Asia","Pakistan",13.8,12.2
"Central and Southern Asia","Afghanistan",24.4,7.2
"Central and Southern Asia","Nepal",38,41.3
"","",,
"Ocenia","Papua New Guinea",9.8,9.40000000000001
"","",,
"Western Asia and Northern Africa","Armenia",16.2,22.1
