Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Entity\Sex,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women
Total,37,35.5,34.7,35.8,34,33.7,32.6,31.7,30.1,28.7,27.3,25.1,29.7,28.8,28.4,26.2,25.2,24.5,24.3,21.4,25.1
Agency for the Cooperation of Energy Regulators (ACER),29.6,25.9,25.9,23.1,28.6,25,18.5,14.3,22.2,25.9,25.9,25.9,15.4,,,,,,,,
Body of European Regulators for Electronic Communications (BEREC),26.9,33.3,29.6,22.2,18.5,14.3,25,28.6,21.4,21.4,17.9,7.7,,,,,,,,,
Community Plant Variety Office (CPVO),37,42.9,46.4,42.9,39.3,44.8,41.4,44.8,41.4,44.4,42.9,40.7,46.4,46.4,42.9,40.7,32.1,34.6,36,32,25.8
Euratom Supply Agency (ESA),,,,,,,,,,,,,,,,,,,,,
European Agency for Reconstruction (EAR),,,,,,,,,,,,,,,,45.9,44.7,23.1,15.4,15.4,18.8
European Agency for Safety and Health at Work (EU-OSHA),35.3,39,40.5,42.9,41.4,36.8,36.8,34.5,34.1,29.1,31.3,29,30.1,32.6,32.1,31.7,23.8,25,26,23.9,20
European Agency for the Management of Operational Cooperation at the External Borders (FRONTEX),12.5,9.4,9.7,12.9,12.5,12.5,6.3,6.3,0,6.3,6.5,6.5,6.5,6.5,6.9,3.2,0,,,,
"European Agency for the Operational Management of large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",18.2,17.2,17.2,17.2,16.7,6.7,10,16.7,11.4,13.9,13.9,,,,,,,,,,
European Asylum Support Office (EASO),,,37.9,48.1,51.7,48.3,46.4,37.9,26.7,27.6,24.1,25,16.7,,,,,,,,
European Aviation Safety Agency (EASA),24.2,18.8,15.2,15.2,9.7,12.5,15.6,15.2,12.9,12.1,18.2,18.8,18.8,15.6,9.4,3.2,0,0,0,0,
European Banking Authority (EBA),17.9,21.4,17.9,28.6,21.4,20.7,20.7,17.2,14.3,10,6.9,6.9,,,,,,,,,
European Centre for Disease Prevention and Control (ECDC),56.7,62.5,46.9,59.4,56.3,56.3,57.6,45.5,52,51.9,48.1,46.9,43.8,42.4,50,16.7,33.3,31,34.5,,
European Centre for the Development of Vocational Training (Cedefop),55.2,52.1,52.6,48.9,47.1,44.3,42.5,43.7,37.5,37.9,35.7,29.5,33.7,30.2,29.8,32.5,32.6,22.1,26.5,24.7,42.9
European Chemicals Agency (ECHA),65.6,56.3,68.8,68.8,66.7,57.6,59.4,60.6,54.5,45.5,40.6,35.5,31.3,37.1,34.3,34.3,34.3,,,,
European Defence Agency (EDA),22.2,22.2,22.2,22.2,21.4,28.6,21.4,17.9,17.9,14.8,11.1,7.4,,,,,,,,,
European Environment Agency (EEA),48.6,48.6,44.1,47.2,44.4,41.7,38.2,47.2,37.1,27,31.6,31.4,32.4,36.1,19.4,10.8,8.1,2.9,5.9,2.9,29.4
European Fisheries Control Agency (EFCA),31.3,24.2,30.3,33.3,29.4,29.4,20.6,12.1,12.5,18.2,15.2,18.2,18.2,15.2,15.2,9.7,9.1,,,,
European Food Safety Authority (EFSA),52.6,26.7,20,21.4,21.4,20,20,20,20,26.7,40,38.5,40,40,40,33.3,33.3,38.5,28.6,28.6,28.6
European Public Prosecutor's Office (EPPO),39.1,,,,,,,,,,,,,,,,,,,,
European Union Agency for Asylum (EUAA),42.9,42.9,,,,,,,,,,,,,,,,,,,
European Foundation for the Improvement of Living and Working Conditions (EUROFOUND),48.8,39.3,40.5,39.3,39.8,46,46.5,44.2,41.9,40,34.1,32.1,35.4,26.8,29.8,33.3,34.5,43.8,41,43.9,33.3
European GNSS Agency (GSA),,,,16.1,20,18.2,18.2,25,25,27.3,25,25,21.9,18.5,18.5,14.3,17.9,,,,
European Institute for Gender Equality (EIGE),78.9,84.2,68.8,72.2,66.7,88.9,88.9,94.7,94.4,94.7,89.5,73.7,78.9,84.2,94.4,,,,,,
European Institute of Innovation and Technology (EIT),42.9,50,50,66.7,66.7,36.4,41.7,35.7,33.3,36.4,36.4,27.3,,,,,,,,,
