Geographic region\Time,2023,2022,2021,2020,2019,2018,2017
Albania,8,7,7,9,9,9,
Austria,42,42,42,44,42,43,43.0
Bosnia and Herzegovina,7,7,7,7,7,7,
Belgium,14,14,13,13,13,14,15.0
Bulgaria,11,11,10,10,10,11,9.0
Cyprus,9,8,9,9,12,12,12.0
Czechia,10,10,10,10,10,9,10.0
Germany,102,116,122,130,122,97,112.0
Denmark,27,27,25,26,27,26,27.0
Estonia,7,7,6,7,7,7,7.0
EEA countries (non-EU),32,38,38,37,38,37,
Greece,8,8,9,8,8,8,9.0
Spain,39,39,39,36,36,39,40.0
European Union - 27 countries (from 2020),880,877,859,868,859,841,628.0
European Union - 28 countries (1993-2020),893,891,874,883,874,856,743.0
Finland,14,14,13,13,13,14,15.0
France,20,20,20,20,20,19,19.0
Croatia,7,7,7,7,7,7,7.0
Hungary,8,9,9,8,9,9,9.0
Ireland,28,29,32,32,31,32,34.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,234,158,159,160,161,168,
Iceland,11,11,11,11,11,11,
Italy,138,138,138,138,138,138,
Liechtenstein,5,5,5,4,5,5,
Lithuania,30,33,33,34,33,33,28.0
Luxembourg,8,9,9,9,9,9,9.0
Latvia,65,41,17,22,22,22,22.0
Montenegro,146,68,68,68,68,68,
North Macedonia,22,25,27,27,27,27,
Malta,14,15,15,11,11,15,13.0
Netherlands,6,5,6,6,6,6,6.0
Norway,16,22,22,22,22,21,
Poland,64,62,62,62,61,60,62.0
Portugal,11,12,12,12,12,11,9.0
Romania,89,89,89,89,89,89,
Serbia,14,14,14,13,13,13,
Sweden,89,92,92,92,91,91,92.0
Slovenia,7,7,7,7,7,7,7.0
Slovakia,13,13,13,13,13,13,12.0
Türkiye,30,30,29,29,30,37,
United Kingdom,13,14,15,15,15,15,115.0
Kosovo,7,7,7,7,7,7,
