Geographic region\Time,2023,2022,2021,2020,2019,2018,2017
Albania,5,5,4,4,4,4,
Austria,18,19,18,13,12,12,13.0
Bosnia and Herzegovina,4,4,4,3,3,3,
Belgium,4,5,5,6,6,7,6.0
Bulgaria,6,6,5,5,4,4,4.0
Cyprus,2,2,2,2,3,3,3.0
Czechia,3,3,3,2,2,3,3.0
Germany,51,51,55,50,49,39,41.0
Denmark,13,13,12,12,11,10,10.0
Estonia,3,2,1,1,1,1,0.0
EEA countries (non-EU),15,21,19,18,20,19,
Greece,1,1,1,1,1,1,1.0
Spain,19,19,22,18,21,15,16.0
European Union - 27 countries (from 2020),379,361,348,337,329,319,230.0
European Union - 28 countries (1993-2020),385,366,354,341,333,323,274.0
Finland,7,7,5,5,6,6,7.0
France,9,9,8,8,6,9,7.0
Croatia,1,1,2,2,2,2,2.0
Hungary,1,1,0,0,0,0,0.0
Ireland,14,13,16,15,16,16,15.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,86,53,53,50,50,51,
Iceland,5,6,6,5,6,4,
Italy,42,42,42,42,42,42,
Liechtenstein,2,3,3,3,4,4,
Lithuania,11,12,11,13,12,12,9.0
Luxembourg,5,5,5,5,4,5,5.0
Latvia,56,33,13,9,7,9,8.0
Montenegro,56,23,23,23,23,23,
North Macedonia,11,13,14,14,14,14,
Malta,6,6,6,5,5,6,2.0
Netherlands,2,3,3,3,1,2,2.0
Norway,8,12,10,10,10,11,
Poland,16,12,13,17,17,14,13.0
Portugal,4,5,5,5,5,4,3.0
Romania,40,40,40,40,40,40,
Serbia,3,3,3,3,3,3,
Sweden,41,46,49,53,51,52,55.0
Slovenia,3,4,4,3,3,3,3.0
Slovakia,1,1,2,2,2,2,2.0
Türkiye,5,3,3,1,1,2,
United Kingdom,6,5,6,4,4,4,44.0
Kosovo,2,2,2,2,2,2,
