Geographic region\Time,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Albania,2,4,4,4,6,,,,,,
Austria,1,1,2,1,1,3.0,4.0,4.0,3.0,2.0,2.0
Bosnia and Herzegovina,2,2,3,3,4,,,,,,
Belgium,1,1,1,1,1,1.0,1.0,0.0,0.0,2.0,2.0
Bulgaria,6,7,8,8,9,7.0,4.0,6.0,5.0,11.0,5.0
Cyprus,2,2,2,2,2,3.0,3.0,3.0,3.0,3.0,3.0
Czechia,3,2,2,2,3,3.0,3.0,3.0,3.0,3.0,3.0
Germany,7,7,8,7,8,6.0,6.0,6.0,5.0,9.0,9.0
Denmark,1,2,2,2,3,3.0,3.0,2.0,2.0,1.0,2.0
Estonia,1,2,2,2,1,1.0,2.0,2.0,0.0,1.0,1.0
EEA countries (non-EU),12,11,11,13,12,11.0,10.0,9.0,10.0,10.0,9.0
Greece,8,8,5,5,5,4.0,3.0,3.0,3.0,3.0,4.0
Spain,2,1,4,4,3,4.0,5.0,4.0,4.0,5.0,5.0
European Union - 27 countries (from 2020),97,99,101,107,114,116.0,118.0,107.0,106.0,117.0,115.0
European Union - 28 countries (1993-2020),106,105,109,115,120,124.0,126.0,112.0,114.0,126.0,126.0
Finland,2,2,1,2,2,2.0,3.0,2.0,2.0,2.0,3.0
France,3,1,1,1,1,2.0,1.0,1.0,1.0,2.0,1.0
Croatia,2,2,2,2,2,2.0,3.0,3.0,3.0,3.0,3.0
Hungary,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
Ireland,2,1,1,3,3,3.0,3.0,6.0,5.0,5.0,5.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,18,20,20,35,34,13.0,14.0,13.0,10.0,11.0,10.0
Iceland,2,2,2,2,2,1.0,0.0,0.0,1.0,1.0,1.0
Italy,9,6,8,8,11,8.0,8.0,4.0,4.0,6.0,7.0
Liechtenstein,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0
Lithuania,8,7,9,8,8,10.0,11.0,11.0,10.0,9.0,10.0
Luxembourg,2,2,2,2,3,3.0,3.0,3.0,3.0,3.0,3.0
Latvia,4,5,6,6,6,6.0,6.0,4.0,5.0,5.0,6.0
Montenegro,1,1,1,1,2,2.0,3.0,3.0,,,
North Macedonia,5,5,5,6,6,6.0,6.0,6.0,6.0,6.0,5.0
Malta,1,2,3,4,4,4.0,4.0,4.0,4.0,4.0,3.0
Netherlands,2,2,1,1,1,1.0,2.0,2.0,1.0,1.0,1.0
Norway,8,7,7,9,8,8.0,8.0,7.0,7.0,7.0,6.0
Poland,10,10,7,11,12,16.0,17.0,11.0,18.0,16.0,16.0
Portugal,4,6,6,7,8,7.0,7.0,7.0,6.0,6.0,4.0
Romania,3,3,3,3,2,2.0,2.0,2.0,3.0,1.0,2.0
Serbia,1,1,1,2,2,2.0,2.0,1.0,1.0,2.0,2.0
Sweden,1,3,2,2,2,2.0,1.0,1.0,1.0,0.0,0.0
Slovenia,4,5,5,4,4,3.0,3.0,3.0,2.0,4.0,5.0
Slovakia,7,8,7,8,8,9.0,9.0,9.0,9.0,9.0,9.0
Türkiye,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0
United Kingdom,9,6,8,8,6,8.0,8.0,5.0,8.0,9.0,11.0
Kosovo,4,4,3,16,11,,,,,,
