Geographic region\Time,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Albania,6,1,2,3,2,,,,,,
Austria,1,2,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
Bosnia and Herzegovina,2,2,1,0,0,,,,,,
Belgium,3,3,1,1,1,1.0,1.0,2.0,2.0,0.0,0.0
Bulgaria,3,4,3,3,2,2.0,3.0,2.0,3.0,2.0,4.0
Cyprus,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Germany,4,3,3,2,2,5.0,5.0,5.0,6.0,2.0,2.0
Denmark,2,1,1,1,0,0.0,0.0,1.0,1.0,2.0,1.0
Estonia,1,0,0,0,1,1.0,0.0,0.0,2.0,1.0,1.0
EEA countries (non-EU),4,6,6,4,5,5.0,6.0,5.0,4.0,4.0,6.0
Greece,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
Spain,4,4,1,1,1,2.0,1.0,2.0,2.0,1.0,1.0
European Union - 27 countries (from 2020),48,47,37,37,29,29.0,29.0,33.0,38.0,33.0,29.0
European Union - 28 countries (1993-2020),51,50,40,41,33,32.0,32.0,37.0,43.0,35.0,30.0
Finland,3,3,4,4,1,1.0,1.0,1.0,3.0,3.0,2.0
France,3,3,3,3,3,2.0,2.0,1.0,1.0,0.0,1.0
Croatia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Ireland,0,1,1,0,0,0.0,0.0,1.0,1.0,1.0,1.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,14,7,7,6,4,2.0,1.0,2.0,2.0,1.0,2.0
Iceland,0,1,1,1,1,2.0,3.0,2.0,1.0,1.0,1.0
Italy,3,4,4,4,1,3.0,4.0,2.0,2.0,0.0,0.0
Liechtenstein,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0
Lithuania,6,6,3,3,2,1.0,1.0,1.0,1.0,3.0,0.0
Luxembourg,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0
Latvia,2,1,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0
Montenegro,1,0,1,1,1,1.0,0.0,0.0,,,
North Macedonia,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Malta,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,2,3,4,4,4,4.0,2.0,2.0,2.0,2.0,2.0
Norway,2,3,3,1,2,1.0,1.0,1.0,1.0,1.0,3.0
Poland,3,2,1,1,1,1.0,1.0,3.0,5.0,7.0,7.0
Portugal,0,2,2,2,1,1.0,1.0,1.0,0.0,0.0,1.0
Romania,0,0,0,0,1,1.0,1.0,1.0,0.0,2.0,1.0
Serbia,2,2,2,1,1,1.0,1.0,2.0,2.0,1.0,1.0
Sweden,2,0,1,1,1,1.0,2.0,2.0,2.0,3.0,3.0
Slovenia,2,1,1,2,2,2.0,2.0,3.0,3.0,2.0,0.0
Slovakia,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,3,3,3,4,4,3.0,3.0,4.0,5.0,2.0,1.0
Kosovo,2,1,0,1,0,,,,,,
