"Field of Study","Women","Men"
"Education",69.8682784397163,30.1317215602837
"Health and Welfare",69.8053077304965,30.1946922695035
"Social Sciences, Journalism and Information",62.78895304,37.21104696
"Arts and Humanities",62.7619409929078,37.2380590070922
"Business, Administration and Law",55.497049924812,44.502950075188
"Natural Sciences, Mathematics and Statistics",55.393257109375,44.606742890625
"Services",48.9143538582677,51.0856461417323
"Agriculture, Forestry, Fisheries and Veterinary",45.54614784,54.45385216
"Information and Communication Technologies",31.1815964,68.8184036
"Engineering, Manufacturing and Construction",27.1685572592593,72.8314427407407
