"SDG Region-Developed/Developing-Year","Percentage"
"Central and Southern Asia-Developing-2017",10.56338
"Eastern and South-Eastern Asia-Developing-2015",16.67996
"Sub-Saharan Africa-Developing-2010",17.32012
"Sub-Saharan Africa-Developing-2018",18.02791
"Sub-Saharan Africa-Developing-2017",18.16911
"Latin America and the Caribbean-Developing-2017",18.82858
"Eastern and South-Eastern Asia-Developing-2015",19.26917
"Sub-Saharan Africa-Developing-2018",19.76201
"Europe and Northern America-Developed-2018",20.37037
"Central and Southern Asia-Developing-2018",20.55313
"Sub-Saharan Africa-Developing-2018",20.5868
"Sub-Saharan Africa-Developing-2017",20.80925
"Europe and Northern America-Developed-2017",22.31547
"Latin America and the Caribbean-Developing-2018",23.1384
"Central and Southern Asia-Developing-2018",24.60623
"Sub-Saharan Africa-Developing-2018",24.8237
"Sub-Saharan Africa-Developing-2016",25.09538
"Eastern and South-Eastern Asia-Developing-2017",25.21585
"Eastern and South-Eastern Asia-Developing-2018",25.37313
"Europe and Northern America-Developed-2017",25.83196
"Europe and Northern America-Developed-2016",25.9026
"Latin America and the Caribbean-Developing-2012",27.20307
"Europe and Northern America-Developed-2017",27.40048
"Europe and Northern America-Developed-2018",27.41609
"Europe and Northern America-Developed-2017",27.55567
"Europe and Northern America-Developed-2016",27.57475
"Sub-Saharan Africa-Developing-2016",27.80749
"Europe and Northern America-Developed-2017",27.84946
"Europe and Northern America-Developed-2017",28.46429
"Europe and Northern America-Developed-2018",28.78557
"Sub-Saharan Africa-Developing-2015",28.79315
"Sub-Saharan Africa-Developing-2017",28.85748
"Eastern and South-Eastern Asia-Developing-2018",28.95031
"Europe and Northern America-Developed-2016",29.00194
"Latin America and the Caribbean-Developing-2016",29.22662
"Sub-Saharan Africa-Developing-2018",29.2567
"Europe and Northern America-Developed-2017",29.29293
"Europe and Northern America-Developed-2017",29.55581
"Europe and Northern America-Developed-2017",29.59471
"Eastern and South-Eastern Asia-Developing-2016",30.13622
"Europe and Northern America-Developed-2018",30.5224
"Latin America and the Caribbean-Developing-2017",30.62815
"Sub-Saharan Africa-Developing-2016",30.72713
"Sub-Saharan Africa-Developing-2018",31.01747
"Europe and Northern America-Developed-2017",31.133
"Central and Southern Asia-Developing-2017",31.16248
"Central and Southern Asia-Developing-2018",31.27617
"Europe and Northern America-Developed-2016",31.4295
"Sub-Saharan Africa-Developing-2018",31.57895
"Central and Southern Asia-Developing-2019",31.63234
"Europe and Northern America-Developed-2017",31.6804
"Europe and Northern America-Developed-2016",31.80564
"Australia and New Zealand-Developed-2017",32.07578
"Latin America and the Caribbean-Developing-2018",32.20033
"Sub-Saharan Africa-Developing-2017",32.27844
"Europe and Northern America-Developed-2017",33.32192
"Latin America and the Caribbean-Developing-2012",33.33333
"Latin America and the Caribbean-Developing-2018",33.40987
"Europe and Northern America-Developed-2016",33.98544
"Eastern and South-Eastern Asia-Developing-2018",34.07768
"Eastern and South-Eastern Asia-Developing-2018",34.16717
"Europe and Northern America-Developed-2017",34.24926
"Eastern and South-Eastern Asia-Developing-2017",34.26117
"Northern Africa and Western Asia-Developing-2014",34.68608
"Latin America and the Caribbean-Developing-2015",34.6914
"Australia and New Zealand-Developed-2017",34.96016
"Northern Africa and Western Asia-Developing-2018",35.09903
"Europe and Northern America-Developed-2017",35.22112
"Europe and Northern America-Developed-2012",35.23035
"Sub-Saharan Africa-Developing-2018",35.36145
"Europe and Northern America-Developed-2017",35.47829
"Europe and Northern America-Developed-2017",35.56827
"Europe and Northern America-Developed-2018",36
"Sub-Saharan Africa-Developing-2017",36.02903
"Eastern and South-Eastern Asia-Developing-2017",36.25297
"Eastern and South-Eastern Asia-Developing-2016",36.50885
"Latin America and the Caribbean-Developing-2017",36.64406
"Northern Africa and Western Asia-Developing-2018",36.822
"Europe and Northern America-Developed-2017",36.87189
"Northern Africa and Western Asia-Developing-2016",36.89891
"Eastern and South-Eastern Asia-Developing-2018",37.43295
"Europe and Northern America-Developed-2017",37.76102
"Latin America and the Caribbean-Developing-2018",37.78616
"Europe and Northern America-Developed-2016",38.10313
"Northern Africa and Western Asia-Developed-2017",38.26274
"Europe and Northern America-Developed-2017",38.37799
"Sub-Saharan Africa-Developing-2015",38.41584
"Latin America and the Caribbean-Developing-2016",38.50121
"Northern Africa and Western Asia-Developing-2019",38.67785
"Europe and Northern America-Developed-2017",38.91309
"Europe and Northern America-Developed-2016",39.52253
"Northern Africa and Western Asia-Developing-2018",39.81053
"Latin America and the Caribbean-Developing-2016",39.88868
"Latin America and the Caribbean-Developing-2017",39.98837
"Latin America and the Caribbean-Developing-2016",40
"Europe and Northern America-Developed-2017",40.08756
"Latin America and the Caribbean-Developing-2011",40.50279
"Central and Southern Asia-Developing-2018",40.57054
"Europe and Northern America-Developed-2012",40.67797
"Latin America and the Caribbean-Developing-2018",40.94488
"Northern Africa and Western Asia-Developing-2018",41.21339
"Europe and Northern America-Developed-2016",41.21575
"Northern Africa and Western Asia-Developing-2017",41.48553
"Latin America and the Caribbean-Developing-2015",41.83007
"Sub-Saharan Africa-Developing-2018",42.35808
"Sub-Saharan Africa-Developing-2017",42.49578
"Europe and Northern America-Developed-2018",42.55736
"Central and Southern Asia-Developing-2018",42.73444
"Sub-Saharan Africa-Developing-2017",42.75694
"Latin America and the Caribbean-Developing-2016",43.22296
"Northern Africa and Western Asia-Developing-2011",43.25716
"Europe and Northern America-Developed-2017",43.36165
"Latin America and the Caribbean-Developing-2010",43.46254
"Latin America and the Caribbean-Developing-2017",43.96355
"Northern Africa and Western Asia-Developing-2018",44.27376
"Europe and Northern America-Developed-2018",44.49518
"Northern Africa and Western Asia-Developing-2017",45.3156
"Sub-Saharan Africa-Developing-2012",45.65712
"Europe and Northern America-Developed-2018",46.65349
"Northern Africa and Western Asia-Developing-2015",47.18265
"Europe and Northern America-Developed-2017",47.38186
"Northern Africa and Western Asia-Developing-2018",47.57709
"Latin America and the Caribbean-Developing-2017",47.80991
"Northern Africa and Western Asia-Developing-2016",49.50636
"Eastern and South-Eastern Asia-Developing-2018",54.3399
"Sub-Saharan Africa-Developing-2015",54.88478
"Northern Africa and Western Asia-Developing-2018",55.4091
