Geographic region\Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Albania,2,2,2,3,3,3,,,,,,,
Austria,3,3,3,3,2,4,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Bosnia and Herzegovina,9,7,8,7,7,10,,,,,,,
Belgium,10,9,9,8,7,7,7.0,7.0,7.0,8.0,8.0,10.0,8.0
Bulgaria,6,6,4,3,3,3,3.0,3.0,4.0,4.0,3.0,3.0,4.0
Cyprus,5,6,4,4,4,4,5.0,4.0,4.0,4.0,4.0,4.0,5.0
Czechia,5,5,8,7,7,7,6.0,6.0,7.0,7.0,5.0,6.0,4.0
Germany,7,6,7,7,6,6,4.0,4.0,4.0,4.0,5.0,5.0,5.0
Denmark,5,3,3,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Estonia,5,4,4,4,4,5,6.0,6.0,6.0,4.0,4.0,4.0,4.0
EEA countries (non-EU),8,10,11,11,11,11,11.0,11.0,11.0,10.0,10.0,8.0,7.0
Greece,3,3,3,3,4,4,4.0,4.0,5.0,5.0,5.0,3.0,3.0
Spain,3,3,2,3,4,3,4.0,2.0,1.0,2.0,2.0,2.0,2.0
European Union - 27 countries (from 2020),120,114,119,124,129,127,126.0,118.0,115.0,122.0,124.0,119.0,121.0
European Union - 28 countries (1993-2020),124,117,123,128,131,129,128.0,121.0,118.0,125.0,127.0,122.0,124.0
Finland,1,1,2,3,5,6,5.0,6.0,6.0,5.0,5.0,3.0,4.0
France,8,6,6,6,6,6,4.0,4.0,4.0,4.0,4.0,2.0,2.0
Croatia,2,2,3,3,3,3,4.0,3.0,2.0,2.0,2.0,2.0,1.0
Hungary,5,6,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Ireland,3,3,4,4,3,3,4.0,3.0,3.0,4.0,4.0,4.0,4.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,34,30,30,31,32,34,14.0,16.0,17.0,10.0,13.0,13.0,12.0
Iceland,2,3,4,4,4,4,4.0,4.0,4.0,3.0,4.0,3.0,3.0
Italy,3,4,5,5,4,4,5.0,4.0,4.0,6.0,6.0,4.0,4.0
Liechtenstein,4,4,4,4,4,4,4.0,4.0,4.0,4.0,3.0,2.0,2.0
Lithuania,4,4,4,5,7,7,6.0,6.0,6.0,6.0,7.0,7.0,8.0
Luxembourg,5,4,4,4,4,4,4.0,4.0,5.0,4.0,4.0,5.0,5.0
Latvia,7,6,7,10,10,5,8.0,7.0,7.0,5.0,5.0,5.0,8.0
Montenegro,7,6,6,4,4,4,2.0,5.0,6.0,,,,
North Macedonia,4,4,3,3,3,3,3.0,4.0,4.0,4.0,4.0,4.0,3.0
Malta,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Netherlands,5,6,6,6,6,5,5.0,4.0,5.0,5.0,6.0,4.0,4.0
Norway,2,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0
Poland,3,3,3,3,3,3,4.0,4.0,3.0,5.0,5.0,5.0,4.0
Portugal,3,3,2,2,3,3,3.0,3.0,4.0,4.0,4.0,4.0,5.0
Romania,5,6,7,5,5,6,6.0,5.0,2.0,4.0,4.0,4.0,4.0
Serbia,4,2,2,4,4,4,5.0,3.0,3.0,3.0,5.0,5.0,6.0
Sweden,4,3,3,4,5,6,5.0,5.0,5.0,7.0,7.0,7.0,7.0
Slovenia,4,3,5,6,7,6,4.0,4.0,4.0,5.0,5.0,6.0,6.0
Slovakia,4,4,5,6,7,7,7.0,7.0,4.0,5.0,6.0,6.0,6.0
Türkiye,4,4,4,4,4,4,4.0,4.0,4.0,3.0,4.0,4.0,3.0
United Kingdom,4,3,4,4,2,2,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Kosovo,4,5,5,6,7,6,,,,,,,
