Geographic region\Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Albania,2,2,3,4,4,4,,,,,,,
Austria,5,5,5,5,4,4,4.0,4.0,4.0,4.0,5.0,5.0,5.0
Bosnia and Herzegovina,9,7,8,7,7,10,,,,,,,
Belgium,12,11,11,11,10,10,10.0,10.0,9.0,10.0,10.0,11.0,11.0
Bulgaria,7,7,5,4,4,4,4.0,5.0,5.0,4.0,3.0,3.0,4.0
Cyprus,6,6,5,5,5,5,6.0,4.0,4.0,4.0,4.0,4.0,5.0
Czechia,6,6,8,7,7,7,6.0,6.0,7.0,7.0,5.0,6.0,4.0
Germany,11,9,11,11,10,10,7.0,7.0,7.0,7.0,8.0,7.0,8.0
Denmark,8,6,6,6,5,5,5.0,5.0,6.0,6.0,6.0,6.0,6.0
Estonia,6,5,5,5,5,6,6.0,6.0,6.0,4.0,4.0,4.0,4.0
EEA countries (non-EU),16,16,16,16,17,17,15.0,15.0,16.0,16.0,13.0,12.0,12.0
Greece,4,4,4,4,5,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0
Spain,5,5,3,4,5,4,4.0,3.0,2.0,2.0,2.0,2.0,2.0
European Union - 27 countries (from 2020),164,154,161,158,154,154,150.0,145.0,139.0,141.0,141.0,137.0,144.0
European Union - 28 countries (1993-2020),168,158,166,163,158,158,154.0,149.0,142.0,144.0,144.0,140.0,147.0
Finland,6,6,6,6,6,7,6.0,6.0,6.0,6.0,6.0,5.0,7.0
France,8,6,6,6,6,7,4.0,4.0,4.0,4.0,4.0,3.0,3.0
Croatia,2,2,3,3,3,3,4.0,3.0,3.0,3.0,3.0,3.0,2.0
Hungary,6,7,5,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Ireland,5,5,5,5,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,36,32,33,34,35,36,15.0,17.0,18.0,10.0,14.0,14.0,12.0
Iceland,6,6,6,6,7,7,5.0,5.0,5.0,5.0,4.0,4.0,4.0
Italy,5,5,7,7,5,5,5.0,4.0,4.0,6.0,6.0,4.0,4.0
Liechtenstein,5,5,5,5,5,5,4.0,4.0,5.0,5.0,3.0,2.0,2.0
Lithuania,7,7,6,6,7,7,6.0,6.0,7.0,7.0,7.0,7.0,8.0
Luxembourg,8,8,6,6,5,6,6.0,6.0,6.0,5.0,5.0,6.0,6.0
Latvia,8,6,8,10,10,6,9.0,9.0,9.0,6.0,6.0,6.0,9.0
Montenegro,7,6,6,4,4,4,2.0,5.0,6.0,,,,
North Macedonia,4,4,3,3,3,3,3.0,4.0,4.0,4.0,4.0,4.0,3.0
Malta,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Netherlands,9,9,10,9,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Norway,5,5,5,5,5,5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Poland,3,3,3,3,3,4,4.0,4.0,4.0,5.0,5.0,5.0,4.0
Portugal,3,3,3,3,5,5,5.0,5.0,4.0,4.0,4.0,4.0,5.0
Romania,5,6,7,5,5,6,7.0,6.0,3.0,5.0,5.0,4.0,4.0
Serbia,4,2,2,4,4,4,5.0,3.0,3.0,3.0,5.0,5.0,6.0
Sweden,8,7,7,7,7,8,8.0,8.0,8.0,9.0,9.0,9.0,9.0
Slovenia,5,4,8,8,8,6,5.0,5.0,5.0,6.0,6.0,6.0,7.0
Slovakia,4,4,6,6,7,7,7.0,7.0,4.0,5.0,6.0,6.0,6.0
Türkiye,6,6,6,6,6,5,5.0,5.0,5.0,3.0,5.0,5.0,3.0
United Kingdom,4,4,5,5,4,4,4.0,4.0,3.0,3.0,3.0,3.0,3.0
Kosovo,4,5,5,6,7,6,,,,,,,
