Geographic region\Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Albania,0,0,1,1,1,1,,,,,,,
Austria,2,2,2,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bosnia and Herzegovina,0,0,0,0,0,0,,,,,,,
Belgium,2,2,2,3,3,3,3.0,3.0,2.0,2.0,2.0,1.0,3.0
Bulgaria,1,1,1,1,1,1,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Cyprus,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,4,3,4,4,4,4,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Denmark,3,3,3,2,1,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Estonia,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEA countries (non-EU),8,6,5,5,6,6,4.0,4.0,5.0,6.0,3.0,4.0,5.0
Greece,1,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Spain,2,2,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
European Union - 27 countries (from 2020),44,40,42,34,25,27,24.0,27.0,24.0,19.0,17.0,18.0,23.0
European Union - 28 countries (1993-2020),44,41,43,35,27,29,26.0,28.0,24.0,19.0,17.0,18.0,23.0
Finland,5,5,4,3,1,1,1.0,0.0,0.0,1.0,1.0,2.0,3.0
France,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Croatia,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Hungary,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,2,2,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,2,2,3,3,3,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Iceland,4,3,2,2,3,3,1.0,1.0,1.0,2.0,0.0,1.0,1.0
Italy,2,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liechtenstein,1,1,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Lithuania,3,3,2,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Luxembourg,3,4,2,2,1,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Latvia,1,0,1,0,0,1,1.0,2.0,2.0,1.0,1.0,1.0,1.0
Montenegro,0,0,0,0,0,0,0.0,0.0,0.0,,,,
North Macedonia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,4,3,4,3,1,2,2.0,3.0,2.0,2.0,1.0,3.0,3.0
Norway,3,2,2,2,2,2,3.0,3.0,3.0,3.0,3.0,3.0,4.0
Poland,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal,0,0,1,1,2,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Romania,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Serbia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,4,4,4,3,2,2,3.0,3.0,3.0,2.0,2.0,2.0,2.0
Slovenia,1,1,3,2,1,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Slovakia,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,2,2,2,2,2,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
United Kingdom,0,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Kosovo,0,0,0,0,0,0,,,,,,,
