Geographic region,2023_x,2022_x,2021_x,2020_x,2019_x,2018_x,2023_y,2022_y,2021_y,2020_y,2019_y,2018_y,2022,2021,2020,2019,2018,2017
Albania,0,0,1,1,1,1,5,5,4,4,4,4,6,1,2,3,2,
Austria,2,2,2,2,2,0,18,19,18,13,12,12,1,2,1,1,1,0.0
Bosnia and Herzegovina,0,0,0,0,0,0,4,4,4,3,3,3,2,2,1,0,0,
Belgium,2,2,2,3,3,3,4,5,5,6,6,7,3,3,1,1,1,1.0
Bulgaria,1,1,1,1,1,1,6,6,5,5,4,4,3,4,3,3,2,2.0
Cyprus,1,0,1,1,1,1,2,2,2,2,3,3,1,1,1,1,1,0.0
Czechia,1,1,0,0,0,0,3,3,3,2,2,3,0,0,0,1,1,0.0
Germany,4,3,4,4,4,4,51,51,55,50,49,39,4,3,3,2,2,5.0
Denmark,3,3,3,2,1,1,13,13,12,12,11,10,2,1,1,1,0,0.0
Estonia,1,1,1,1,1,1,3,2,1,1,1,1,1,0,0,0,1,1.0
EEA countries (non-EU),8,6,5,5,6,6,15,21,19,18,20,19,4,6,6,4,5,5.0
Greece,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
Spain,2,2,1,1,1,1,19,19,22,18,21,15,4,4,1,1,1,2.0
European Union - 27 countries (from 2020),44,40,42,34,25,27,379,361,348,337,329,319,48,47,37,37,29,29.0
European Union - 28 countries (1993-2020),44,41,43,35,27,29,385,366,354,341,333,323,51,50,40,41,33,32.0
Finland,5,5,4,3,1,1,7,7,5,5,6,6,3,3,4,4,1,1.0
France,0,0,0,0,0,1,9,9,8,8,6,9,3,3,3,3,3,2.0
Croatia,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0.0
Hungary,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
Ireland,2,2,1,1,1,1,14,13,16,15,16,16,0,1,1,0,0,0.0
Instrument for Pre-accession Assistance (IPA) beneficiaries,2,2,3,3,3,2,86,53,53,50,50,51,14,7,7,6,4,2.0
Iceland,4,3,2,2,3,3,5,6,6,5,6,4,0,1,1,1,1,2.0
Italy,2,1,2,2,1,1,42,42,42,42,42,42,3,4,4,4,1,3.0
Liechtenstein,1,1,1,1,1,1,2,3,3,3,4,4,2,2,2,2,2,2.0
Lithuania,3,3,2,1,0,0,11,12,11,13,12,12,6,6,3,3,2,1.0
Luxembourg,3,4,2,2,1,2,5,5,5,5,4,5,1,1,1,1,1,1.0
Latvia,1,0,1,0,0,1,56,33,13,9,7,9,2,1,0,0,0,0.0
Montenegro,0,0,0,0,0,0,56,23,23,23,23,23,1,0,1,1,1,1.0
North Macedonia,0,0,0,0,0,0,11,13,14,14,14,14,1,1,1,0,0,0.0
Malta,0,0,0,0,0,0,6,6,6,5,5,6,1,1,0,0,0,0.0
Netherlands,4,3,4,3,1,2,2,3,3,3,1,2,2,3,4,4,4,4.0
Norway,3,2,2,2,2,2,8,12,10,10,10,11,2,3,3,1,2,1.0
Poland,0,0,0,0,0,1,16,12,13,17,17,14,3,2,1,1,1,1.0
Portugal,0,0,1,1,2,2,4,5,5,5,5,4,0,2,2,2,1,1.0
Romania,0,0,0,0,0,0,40,40,40,40,40,40,0,0,0,0,1,1.0
Serbia,0,0,0,0,0,0,3,3,3,3,3,3,2,2,2,1,1,1.0
Sweden,4,4,4,3,2,2,41,46,49,53,51,52,2,0,1,1,1,1.0
Slovenia,1,1,3,2,1,0,3,4,4,3,3,3,2,1,1,2,2,2.0
Slovakia,0,0,1,0,0,0,1,1,2,2,2,2,1,1,1,1,1,0.0
Türkiye,2,2,2,2,2,1,5,3,3,1,1,2,0,0,0,0,0,0.0
United Kingdom,0,1,1,1,2,2,6,5,6,4,4,4,3,3,3,4,4,3.0
Kosovo,0,0,0,0,0,0,2,2,2,2,2,2,2,1,0,1,0,
