"Year","Binding Quota","Soft Measure","No action","European Union - 28 countries"
"2003",5.4,10.9,12.7,8.5
"2004",6.2,10.6,10.9,9
"2005",6.9,11.3,11.6,9.8
"2006",6.8,11.3,11.9,9.7
"2007",6.3,12.4,12.9,10.4
"2008",7.1,13,11.8,10.8
"2009",7.6,12.8,12.2,11
"2010",9,13.4,13.2,11.9
"2011",11.8,14.5,12.2,13.7
"2012",14.3,16.8,12.8,15.8
"2013",17.4,18.6,13.4,17.8
"2014",21.7,19.3,13.5,20.2
"2015",25,21.6,14.6,22.7
"2016",27.3,22.8,13.4,23.9
"2017",29.2,23.8,14.8,25.3
"2018",32.3,24.8,15,26.7
"2019",34.8,26.6,17.3,28.8
