"Country Code","Country Name","Women","Men","Legislative quota target","EU average","Gender balance lower bound","Gender balance upper bound"
"CYP","Cyprus",9.4,90.6,,24.71,40,60
"EST","Estonia",9.4,90.6,,24.71,40,60
"MLT","Malta",10,90,,24.71,40,60
"GRC","Greece",10.3,89.7,,24.71,40,60
"LTU","Lithuania",12,88,,24.71,40,60
"ROU","Romania",12.6,87.4,,24.71,40,60
"HUN","Hungary",12.9,87.1,,24.71,40,60
"LUX","Luxembourg",13.1,86.9,,24.71,40,60
"CZE","Czechia",18.2,81.8,,24.71,40,60
"BGR","Bulgaria",18.5,81.5,,24.71,40,60
"POL","Poland",23.5,76.5,,24.71,40,60
"SVN","Slovenia",24.6,75.4,,24.71,40,60
"PRT","Portugal",24.6,75.4,33,24.71,40,60
"IRL","Ireland",26,74,,24.71,40,60
"ESP","Spain",26.4,73.6,,24.71,40,60
"HRV","Croatia",27,73,,24.71,40,60
"SVK","Slovakia",29.1,70.9,,24.71,40,60
"DNK","Denmark",30,70,,24.71,40,60
"AUT","Austria",31.3,68.7,30,24.71,40,60
"LVA","Latvia",31.7,68.3,,24.71,40,60
"GBR","United Kingdom",32.6,67.4,,24.71,40,60
"FIN","Finland",34.2,65.8,,24.71,40,60
"NLD","Netherlands",34.2,65.8,,24.71,40,60
"DEU","Germany",35.6,64.4,30,24.71,40,60
"BEL","Belgium",35.9,64.1,33,24.71,40,60
"ITA","Italy",36.1,63.9,33,24.71,40,60
"SWE","Sweden",37.5,62.5,,24.71,40,60
"FRA","France",45.3,54.7,40,24.71,40,60
