"Region","Country or Area","","Proportion of elected seats held by women"
"Europe and Northern America","Regional average ",2,35.0565683646113
"","Belarus",2,48.1998895637769
"","Bulgaria",2,27.1523178807947
"","Czechia",2,27.0622332632652
"","Hungary",2,30.5143081915626
"","Poland",2,26.9253002761899
"","Republic of Moldova",2,35.6044905008636
"","Romania",2,12.5050945793676
"","Slovakia",2,25.9126158501986
"","Denmark",2,33.3333333333333
"","Estonia",2,28.6292654713707
"","Finland",2,39.0487831981331
"","Iceland",2,47.0119521912351
"","Ireland",2,23.9199157007376
"","Latvia",2,34.0148698884758
"","Lithuania",2,29.3608521970706
"","Norway",2,40.8408105655812
"","Sweden",2,43.843049951301
"","United Kingdom of Great Britain and Northern Ireland",2,34.252862218713
"","Albania",2,43.6071649166152
"","Andorra",2,35.8024691358025
"","Bosnia and Herzegovina",2,18.5852090032154
"","Croatia",2,26.3911128903123
"","Italy",2,31.7785471565045
"","Malta",2,26.2931034482759
"","Montenegro",2,27.7707006369427
"","Serbia",2,31.2098009188361
"","Slovenia",2,33.6484490398818
"","Spain",2,38.4911193907019
"","Austria",2,23.094920626934
"","Belgium",2,39.032941348331
"","France",2,40.4025932432407
"","Germany",2,27.517600244873
"","Liechtenstein",2,39.1304347826087
"","Luxembourg",2,25.1109139307897
"","Netherlands",2,31.7880074001524
"","Switzerland",2,31.2965139052096
"","Canada",2,26.5996620889832
"Latin America and the Caribbean","Regional average",6,24.5034128895798
"","Antigua and Barbuda",6,66.6666666666667
"","Cuba",6,34.8712106828682
"","Dominican Republic",6,28.343949044586
"","Jamaica",6,18.4210526315789
"","Belize",6,30.9575233981281
"","Costa Rica",6,45.6435643564356
"","El Salvador",6,32.4432576769025
"","Guatemala",6,10.5857066093498
"","Honduras",6,27.8973509933775
"","Mexico",6,45.0106628754221
"","Panama",6,9.01162790697674
"","Bolivia (Plurinational State of)",6,50.4744690465432
"","Brazil",6,13.5072975029398
"","Chile",6,24.8610007942812
"","Colombia",6,17.8958350052163
"","Ecuador",6,27.1744906997343
"","Paraguay",6,20.8246708246708
"","Peru",6,26.1744966442953
"","Suriname",6,35.5932203389831
"","Uruguay",6,26.1330761812922
"Central Asia and Southern Asia","Regional average ",1,41.322869154367
"","Kazakhstan",1,22.1889055472264
"","Turkmenistan",1,21.9322033898305
"","Afghanistan",1,16.5266106442577
"","Bangladesh",1,25.2118254591641
"","Bhutan",1,10.6203995793901
"","India",1,44.3728142765554
"","Iran (Islamic Republic of)",1,3.19661908279911
"","Maldives",1,6.12557427258806
"","Nepal",1,40.9577352244514
"","Pakistan",1,16.8475688993382
"","Sri Lanka",1,10.8940201302546
"Eastern Asia and South-eastern Asia","Regional average ",5,25.2965498470603
"","China, Macao Special Administrative Region",5,23.0769230769231
"","Japan",5,12.871771358704
"","Mongolia",5,26.6872682323857
"","Republic of Korea",5,18.5866666666667
"","Cambodia",5,16.9259212036211
"","Indonesia",5,14.3692307692308
"","Lao People's Democratic Republic",5,32.2222222222222
"","Philippines",5,29.075967822514
"","Thailand",5,17.3549014162733
"","Timor-Leste",5,3.94932935916542
"","Viet Nam",5,26.7925150594912
"Western Asia and Northern Africa","Regional average ",7,17.7322546137044
"","Algeria",7,17.5892857142857
"","Morocco",7,20.8690068493151
"","Tunisia",7,48.4886300610094
"","Armenia",7,9.04103053435115
"","Azerbaijan",7,35
"","Bahrain",7,13.3333333333333
"","Georgia",7,13.4596695821186
"","Iraq",7,25.6880733944954
"","Israel",7,17.1345338983051
"","Jordan",7,31.848284166165
"","Lebanon",7,3.97152740819585
"","Oman",7,3.46534653465347
"","Saudi Arabia",7,1.13851992409867
"","State of Palestine",7,21.1664841182913
"","Syrian Arab Republic",7,7.09373644755591
"","Turkey",7,10.1384260446039
"Sub-Saharan Africa","Regional average ",4,29.2948630008855
"","Burundi",4,19.1035868704707
"","Comoros",4,28.0402010050251
"","Djibouti",4,28.8659793814433
"","Kenya",4,33.5431654676259
"","Malawi",4,14.5652173913043
"","Mauritius",4,26.1667941851568
"","Rwanda",4,43.6241610738255
"","Uganda",4,45.69266798775
"","United Republic of Tanzania",4,30.0560747663551
"","Zambia",4,7.14285714285714
"","Zimbabwe",4,11.9842829076621
"","Cameroon",4,25.3302253302253
"","Equatorial Guinea",4,26.8533772652389
"","Botswana",4,12.6732673267327
"","Eswatini",4,14.2131979695431
"","Lesotho",4,39.015606242497
"","Namibia",4,45.0928381962865
"","South Africa",4,40.7264130668386
"","Benin",4,4.64788732394366
"","Burkina Faso",4,12.6814321040748
"","Cabo Verde",4,28.3625730994152
"","Cote d'Ivoire",4,14.9504692387904
"","Ghana",4,3.7999350438454
"","Guinea",4,15.4272517321016
"","Mali",4,25.2548330404218
"","Mauritania",4,31.3720703125
"","Nigeria",4,9.77801268498943
"","Senegal",4,47.5563770794824
"","Sierra Leone",4,18.1996086105675
"Oceania","Regional average ",3,31.9863187230808
"","New Caledonia",3,45.8167330677291
"","Vanuatu",3,9.44881889763779
"","Guam",3,15.3846153846154
"","Marshall Islands",3,15.9235668789809
"","Micronesia (Federated States of)",3,1.48026315789474
"","Northern Mariana Islands",3,40
"","Tuvalu",3,10.4166666666667
"","Australia",3,33.9191919191919
"","New Zealand",3,39.4112060778727
