"Year","Australia and New Zealand","Central and Southern Asia","Eastern Asia and South-Eastern Asia","Latin America and the Caribbean","Europe and Northern America","Sub-Saharan Africa","Northern Africa and Western Asia"
"2003 ",30,3.7,6.7,12.3,14,9.5,2.9
"2004 ",30,3.7,6.7,12.3,14,9.5,2.9
"2005 ",30,3.6,6.7,12.3,14.2,9.5,2.9
"2006 ",30.2,4,6.7,12.2,14.4,9.5,2.9
"2007 ",30.3,4.1,6.7,12,14.8,9.5,3
"2008 ",30.3,3.7,7,12,15.3,9.5,3.1
"2009 ",30.3,4.4,7.5,11.5,15.3,9.5,3.2
"2010 ",30.5,4.7,7.9,11.7,15.6,9.6,3.4
"2011 ",30.7,5.8,8.5,11.5,15.7,9.6,3.5
"2012 ",30.6,5.9,8.9,13.3,15.9,9.9,3.7
"2013 ",30.5,6.7,9.3,13.7,16.1,10.3,3.9
"2014 ",30.5,6.6,9.9,14.5,16.6,12.5,3.9
"2015 ",30.5,6.7,10.3,14.8,15.9,15,3.9
"2016 ",30.8,6.7,10.4,15.3,16.8,17.7,4
"2017 ",31.5,6.7,10.4,15.7,17.2,17,4.1
